title,star,review,date,help,,
Buy directly from forest essentials,2.0 out of 5 stars,This one in particular from amazon Has an awful smell. Better to buy directly from forest essentials,Reviewed in India on 14 July 2021,,,
Very impressed,5.0 out of 5 stars,Great product,Reviewed in India on 20 March 2021,,,
Value for money.,4.0 out of 5 stars,I like this very much.,Reviewed in India on 5 October 2019,,,
Expected a bigger bottle,3.0 out of 5 stars,Small bottle🥺😖,Reviewed in India on 5 September 2020,,,
Nice one,5.0 out of 5 stars,"Smell is really good and soothing, very small amount is enough...but it's just a face wash nothing extraordinary....the only reason to buy this product is, it's ayurvedic and no harmful chemicals...previously I was using herbalife face wash and thats really good it always left a glow on my face....overall good product one can use... Shipping was before time....recommended seller and product....",Reviewed in India on 23 January 2016,2 people found this helpful,,
Nice,5.0 out of 5 stars,Nice,Reviewed in India on 27 March 2021,,,
Fragrance too strong,3.0 out of 5 stars,"Although it is good as a face cleanser, the smell/fragrance is too strong to bear. I wish it would be more soothing. Definitely not going to repurchase.",Reviewed in India on 8 March 2019,One person found this helpful,,
OMG!,5.0 out of 5 stars,"To be honest ,this face wash is very delicate, chemical free, doesn't make face look dry after wash,overall it's a very good product just go for it if u r in search of good facial cleanser.",Reviewed in India on 19 April 2019,17 people found this helpful,,
Value for money,5.0 out of 5 stars,It's perfect.. clean your skin and fragrance is too good..,Reviewed in India on 19 September 2020,,,
Feels like no chemical,4.0 out of 5 stars,It's a light facewash. Feels like no chemical. Gentle on skin. But find it overpriced.,Reviewed in India on 26 May 2018,,,
... few days into using it my skin has become better not sure if it is worth the price though,3.0 out of 5 stars,When I started using it I did not feel any difference a few days into using it my skin has become better not sure if it is worth the price though,Reviewed in India on 31 August 2018,,,
Amazing,5.0 out of 5 stars,"This is my holy grail. Have been using it for more than 6 years now. Leaves the skin soft, doesn't cause overt dryness and no harmful chemicals.",Reviewed in India on 7 June 2019,,,
Fragrance of the Product,3.0 out of 5 stars,"Refreshing and supple skin. Definitely worth the price, it is suitable to my skin type which is combination Skin.",Reviewed in India on 18 July 2019,2 people found this helpful,,
Excellent,5.0 out of 5 stars,One of the best face washes I have used,Reviewed in India on 17 September 2020,,,
Smells good. My skin is oily after reading all reviews ...,5.0 out of 5 stars,Smells good. My skin is oily after reading all reviews I decided to buy this. Using this from two days only. So no idea it will benefit me and works well to my skin.  let's see.its expensive too compare to other natural face wash. If it works well then worth the money.,Reviewed in India on 24 June 2016,One person found this helpful,,
No harm to skin,5.0 out of 5 stars,This comes without any chemical substance therefore cannot harm your skin and it is a natural extract of lot of products !,Reviewed in India on 18 October 2019,,,
Amazing Product,5.0 out of 5 stars,Amazing product. The scent of the fave wash is so nice that it stays on your face for sometime. Worth buying it.,Reviewed in India on 4 October 2019,,,
its really very nice and makes your skin soft and glowing,4.0 out of 5 stars,"I am using this product from last 1 month, its really very nice and makes your skin soft and glowing . I will buy it next time. Thanks to forest essential and amazon for bringing me this product to my door step :)",Reviewed in India on 4 June 2015,4 people found this helpful,,
Excellent,5.0 out of 5 stars,Amazing product,Reviewed in India on 23 January 2021,,,
Loved it!,5.0 out of 5 stars,Good product.. keeps the skin moist,Reviewed in India on 30 October 2020,,,
Cleanser colour so light,1.0 out of 5 stars,I had purchased the one to the right shown in the picture… I am very much disappointed with Amazon since the colour of the cleaner is come so light this time… it looks as if it’s duplicate…,Reviewed in India on 20 February 2022,2 people found this helpful,,
Good,3.0 out of 5 stars,Good,Reviewed in India on 4 July 2020,,,
Beautiful smell and a perfect cleanser.,5.0 out of 5 stars,It smells so nice that i am obsessed with it. Lovely cleanser. Will buy again.,Reviewed in India on 17 May 2020,,,
Very good.,5.0 out of 5 stars,I love the smell of it.,Reviewed in India on 23 October 2020,,,
Very helpful,5.0 out of 5 stars,"The product is too helpful for my young daughters skin.i think, the price is no doubt high,but the amount needed for each use is little.",Reviewed in India on 30 March 2019,,,
Works wonderfully,5.0 out of 5 stars,Works perfectly on my combination skin and a little goes a long way. The beautiful fragrance is added bonus. Even the packaging is great and the pump dispenser makes sure you don't end up taking too much product and wasting it. Will be buying again and again.,Reviewed in India on 5 January 2017,2 people found this helpful,,
In love with the product,5.0 out of 5 stars,It's a favorite now. Really works well.,Reviewed in India on 25 September 2020,,,
Worst product,1.0 out of 5 stars,Worst product I use this product allergy form my face I crashed this product,Reviewed in India on 5 May 2022,,,
Perfect for sensitive and acne prone skin !,5.0 out of 5 stars,An amazing face wash that is very gentle on the face and maintains your natural moisture barrier.- Prevents acne break-outs- Smells great- Instantly refreshes your face,Reviewed in India on 9 October 2018,,,
The Best,5.0 out of 5 stars,The Best of all available,Reviewed in India on 2 November 2020,,,
I am in love with this product,5.0 out of 5 stars,I am in love with this product. Does not dry my skin at all. One of the best cleanser's that I have used till date.Only downside is the price which is 3x times price of other reputed cleansers.Cant wait to buy more if there are any offers on FE products!,Reviewed in India on 23 February 2016,2 people found this helpful,,
Amazing one,5.0 out of 5 stars,Totally amazing... It cleanses the skin and leaves rich aromatic fragrance. Me and my 12 year old daughter love it,Reviewed in India on 30 August 2019,,,
But great product all around,4.0 out of 5 stars,Quite mild in fragrance. But great product all around.,Reviewed in India on 4 September 2018,,,
Good face wash for oily skin,4.0 out of 5 stars,Good face wash for oily skin. It does not lather much and is gentle with the skin. Leaves my skin feeling fresh and not dry.,Reviewed in India on 4 February 2017,3 people found this helpful,,
amazingly,5.0 out of 5 stars,amazing,Reviewed in India on 6 January 2021,,,
Good facewash,5.0 out of 5 stars,This worked well for my sensitive skin.  To be avoided by very oil skinned beauties. But overall calms inflamed skin and does not cause breakouts.,Reviewed in India on 29 November 2018,,,
Very bad packaging,2.0 out of 5 stars,The packaging for the brand like FE was very poor. The bottle was not at all sealed. It's tough to figure out whether it's a genuine product. That's why giving it 2 star.,Reviewed in India on 12 October 2020,,,
It’s awesome 👏,5.0 out of 5 stars,Its awesome 👏 but sent is not good but product is great 👍 full marks,Reviewed in India on 31 January 2020,,,
Good product,5.0 out of 5 stars,Lyk,Reviewed in India on 30 December 2020,,,
Very good product,5.0 out of 5 stars,Good product and fast delivery,Reviewed in India on 4 October 2020,,,
Simply the best love it,5.0 out of 5 stars,Forest Essentials is the best what a great cleanser this is whether you have sensitive skin acne prone skin oily skin you name it and this works wonders,Reviewed in India on 31 July 2018,,,
Good for sensitive skin,5.0 out of 5 stars,It's my second purchaseIt's the best face wash I have used,Reviewed in India on 7 March 2020,,,
Worth a try,5.0 out of 5 stars,"Great product, very gentle & has a good smell.",Reviewed in India on 26 June 2020,,,
Good product,5.0 out of 5 stars,"Good for acne prone skins. I have used multiple face washes but nothing suited except this. Very mild, doesn't dry the skin, after the wash skin feels supple and fresh.",Reviewed in India on 24 May 2018,4 people found this helpful,,
Too good quality,5.0 out of 5 stars,Best cleanser/facewash.....,Reviewed in India on 24 November 2020,,,
Excellent,5.0 out of 5 stars,This product is just wow wow .i have no words to describe abt its result.with in two dayz my face is glowing nd clear .its fragance is heart touching.i am so happy to use this product.bz this product has no harmful chemical.nd specialy thanx to amazon for on time delivery of product.,Reviewed in India on 21 May 2015,6 people found this helpful,,
The pack was defected,2.0 out of 5 stars,I received it broken. Didn’t expect this from amazon. The bottle was defected. Very disappointed,Reviewed in India on 27 January 2021,,,
